subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s039,0.0836,0.1787,0.0951,0.0757,0.1351,0.0594,0.0768,0.1633,0.0865,0.1024,0.229,0.1266,0.0905,0.4495,0.359,0.1639,0.1625,-0.0014,0.0982,0.1426,0.0444,0.1016,0.1309,0.0293,0.0892,0.1857,0.0965,0.0834,0.1825,0.0991,0.1039
s011,0.1172,0.1567,0.0395,0.1507,0.1737,0.023,0.1085,0.112,0.0035,0.1174,0.0997,-0.0177,0.0813,0.2178,0.1365,0.1442,0.1883,0.0441,0.1037,0.1276,0.0239,0.1283,0.094,-0.0343,0.1347,0.0481,-0.0866,0.137,0.0878,-0.0492,0.1423
s002,0.1109,0.2,0.0891,0.0905,0.1391,0.0486,0.0771,0.1653,0.0882,0.0871,0.6244,0.5373,0.0734,0.4268,0.3534,0.119,0.1631,0.0441,0.0982,0.1769,0.0787,0.1072,0.1265,0.0193,0.065,0.179,0.114,0.095,0.2287,0.1337,0.085
s030,0.1349,0.2198,0.0849,0.1183,0.1331,0.0148,0.1436,0.289,0.1454,0.1589,0.498,0.3391,0.1103,0.4846,0.3743,0.1138,0.2822,0.1684,0.1338,0.1471,0.0133,0.108,0.2548,0.1468,0.0898,0.2431,0.1533,0.1119,0.3271,0.2152,0.0913
s039,0.1018,0.3098,0.208,0.1118,0.1786,0.0668,0.0934,0.1562,0.0628,0.0847,0.7585,0.6738,0.0958,0.4659,0.3701,0.1885,0.1697,-0.0188,0.0982,0.1558,0.0576,0.0952,0.1066,0.0114,0.0886,0.1991,0.1105,0.0873,0.1974,0.1101,0.0789
s013,0.0647,0.0958,0.0311,0.0665,0.1016,0.0351,0.0832,0.0581,-0.0251,0.0645,0.165,0.1005,0.0607,0.2537,0.193,0.0832,0.1368,0.0536,0.094,0.088,-0.006,0.1006,0.1017,0.0011,0.061,0.1452,0.0842,0.056,0.1681,0.1121,0.0618
s055,0.0855,0.1498,0.0643,0.0776,0.084,0.0064,0.0776,0.0813,0.0037,0.0842,0.1839,0.0997,0.0921,0.2164,0.1243,0.104,0.0881,-0.0159,0.0813,0.1241,0.0428,0.0789,0.0457,-0.0332,0.0596,0.1793,0.1197,0.0844,0.1848,0.1004,0.0813
s038,0.1351,0.5461,0.411,0.0807,0.101,0.0203,0.0807,0.1475,0.0668,0.0551,0.4591,0.404,0.0504,0.446,0.3956,0.0636,0.2825,0.2189,0.1232,0.1787,0.0555,0.0847,0.1177,0.033,0.0739,0.1862,0.1123,0.1205,0.3772,0.2567,0.0892
s056,0.0807,0.2523,0.1716,0.1118,0.1709,0.0591,0.1031,0.1569,0.0538,0.1282,0.3563,0.2281,0.1024,0.6278,0.5254,0.1569,0.4858,0.3289,0.1087,0.1447,0.036,0.124,0.1436,0.0196,0.0488,0.1379,0.0891,0.1327,0.1463,0.0136,0.115
s033,0.0591,0.3533,0.2942,0.1416,0.1221,-0.0195,0.1147,0.2904,0.1757,0.1021,0.6625,0.5604,0.0673,0.488,0.4207,0.1683,0.3687,0.2004,0.1266,0.2483,0.1217,0.2993,0.5053,0.206,0.1124,1.6719,1.5595,0.0702,0.6703,0.6001,0.0868
s003,0.156,0.1921,0.0361,0.1629,0.1489,-0.014,0.1088,0.1197,0.0109,0.0718,0.3228,0.251,0.0892,0.3807,0.2915,0.1151,0.2078,0.0927,0.1431,0.1466,0.0035,0.1297,0.1112,-0.0185,0.1046,0.132,0.0274,0.0937,0.2691,0.1754,0.0752
s028,0.0692,0.185,0.1158,0.0668,0.1318,0.065,0.0718,0.0898,0.018,0.0573,0.356,0.2987,0.0684,0.3849,0.3165,0.0624,0.2493,0.1869,0.0507,0.0769,0.0262,0.0689,0.0819,0.013,0.0626,0.1687,0.1061,0.0555,0.237,0.1815,0.0721
s016,0.062,0.6082,0.5462,0.0399,0.2122,0.1723,0.0663,0.126,0.0597,0.0607,0.6961,0.6354,0.0473,0.7704,0.7231,0.1296,0.1946,0.065,0.071,0.3133,0.2423,0.0971,0.2866,0.1895,0.1082,0.2544,0.1462,0.0908,0.4984,0.4076,0.094
s004,0.1043,0.1599,0.0556,0.1169,0.1299,0.013,0.1008,0.0942,-0.0066,0.0686,0.2259,0.1573,0.1151,0.3892,0.2741,0.1803,0.2492,0.0689,0.0954,0.0896,-0.0058,0.1287,0.1139,-0.0148,0.0946,0.1337,0.0391,0.0898,0.2019,0.1121,0.1032
s053,0.1292,0.2755,0.1463,0.0699,0.1287,0.0588,0.104,0.0752,-0.0288,0.0948,0.2617,0.1669,0.101,0.4131,0.3121,0.0623,0.1844,0.1221,0.0878,0.1304,0.0426,0.1064,0.0837,-0.0227,0.1349,0.076,-0.0589,0.123,0.2838,0.1608,0.1029
s040,0.1,0.4061,0.3061,0.1042,0.1296,0.0254,0.1063,0.1667,0.0604,0.1084,0.3112,0.2028,0.0955,0.3483,0.2528,0.1063,0.3353,0.229,0.0934,0.1497,0.0563,0.1672,0.1324,-0.0348,0.1643,0.1741,0.0098,0.1116,0.3146,0.203,0.1116
s051,0.1024,0.2379,0.1355,0.0778,0.1142,0.0364,0.0681,0.124,0.0559,0.057,0.2835,0.2265,0.0789,0.4537,0.3748,0.0602,0.3794,0.3192,0.0691,0.1531,0.084,0.0549,0.151,0.0961,0.0826,0.1883,0.1057,0.0765,0.2942,0.2177,0.0567
s044,0.0689,0.5171,0.4482,0.0533,0.4075,0.3542,0.0612,0.1672,0.106,0.0478,0.278,0.2302,0.0588,0.4473,0.3885,0.0496,0.4531,0.4035,0.0749,0.1103,0.0354,0.0731,0.1639,0.0908,0.0575,0.2126,0.1551,0.0762,0.2644,0.1882,0.0544
s029,0.0824,0.2214,0.139,0.0866,0.2122,0.1256,0.0618,0.0769,0.0151,0.0734,0.3587,0.2853,0.071,0.2985,0.2275,0.0687,0.1843,0.1156,0.0665,0.1539,0.0874,0.0845,0.1297,0.0452,0.1048,0.0794,-0.0254,0.1117,0.2755,0.1638,0.0805
s048,0.1042,0.1595,0.0553,0.1034,0.0733,-0.0301,0.0845,0.1555,0.071,0.0981,0.2587,0.1606,0.1071,0.4044,0.2973,0.0987,0.1681,0.0694,0.0886,0.1335,0.0449,0.0818,0.0829,0.0011,0.0776,0.0908,0.0132,0.0915,0.1768,0.0853,0.1039
s047,0.0905,0.2046,0.1141,0.0989,0.6379,0.539,0.0551,0.2463,0.1912,0.0968,0.6899,0.5931,0.0641,0.4136,0.3495,0.0845,0.2512,0.1667,0.0451,0.1602,0.1151,0.0752,0.1921,0.1169,0.0799,0.3149,0.235,0.0981,0.2557,0.1576,0.1142
s005,0.081,0.1699,0.0889,0.1172,0.198,0.0808,0.0895,0.1832,0.0937,0.0956,0.2051,0.1095,0.1022,0.467,0.3648,0.1568,0.2793,0.1225,0.0853,0.1456,0.0603,0.142,0.1613,0.0193,0.0977,0.2341,0.1364,0.108,0.4132,0.3052,0.0821
s017,0.0597,0.2422,0.1825,0.0407,0.0946,0.0539,0.0409,0.1064,0.0655,0.0578,0.2829,0.2251,0.0523,0.3805,0.3282,0.0499,0.1737,0.1238,0.0663,0.1284,0.0621,0.0713,0.0652,-0.0061,0.0497,0.1671,0.1174,0.061,0.5836,0.5226,0.061
s031,0.1061,0.3792,0.2731,0.0792,0.1362,0.057,0.0768,0.1629,0.0861,0.0971,0.3327,0.2356,0.0808,0.3944,0.3136,0.1246,0.1927,0.0681,0.0839,0.1083,0.0244,0.1397,0.1236,-0.0161,0.084,0.1724,0.0884,0.0971,0.2917,0.1946,0.0747
s020,0.1035,0.1198,0.0163,0.0824,0.1339,0.0515,0.0819,0.0742,-0.0077,0.0864,1.0647,0.9783,0.0565,0.2751,0.2186,0.0798,0.0996,0.0198,0.0829,0.106,0.0231,0.1069,0.0776,-0.0293,0.0981,0.0497,-0.0484,0.1587,0.1829,0.0242,0.0998
s040,0.1414,1.1389,0.9975,0.1425,0.0979,-0.0446,0.1525,0.2066,0.0541,0.1467,0.3851,0.2384,0.1329,0.4331,0.3002,0.1092,0.3015,0.1923,0.1258,0.1317,0.0059,0.2495,0.0992,-0.1503,0.1554,0.1213,-0.0341,0.1789,0.3291,0.1502,0.0944
s016,0.0839,0.3783,0.2944,0.0628,0.2388,0.176,0.0834,0.2645,0.1811,0.0887,0.3286,0.2399,0.062,0.7812,0.7192,0.104,0.2729,0.1689,0.0971,0.2962,0.1991,0.1185,0.3294,0.2109,0.089,0.3109,0.2219,0.0747,0.3361,0.2614,0.0636
s007,0.0776,0.1374,0.0598,0.0832,0.102,0.0188,0.0737,0.0938,0.0201,0.1022,0.1663,0.0641,0.066,0.2482,0.1822,0.0866,0.1275,0.0409,0.0882,0.1216,0.0334,0.0945,0.108,0.0135,0.118,0.0892,-0.0288,0.1011,0.2015,0.1004,0.0847
s038,0.0702,0.3934,0.3232,0.0596,0.106,0.0464,0.0557,0.1523,0.0966,0.0591,0.4984,0.4393,0.053,2.6693,2.6163,0.0799,0.4542,0.3743,0.0799,0.3706,0.2907,0.1074,0.1597,0.0523,0.0607,0.1807,0.12,0.0849,0.4031,0.3182,0.0623
s004,0.1101,0.1375,0.0274,0.109,0.1674,0.0584,0.1188,0.1035,-0.0153,0.0747,0.2148,0.1401,0.1106,0.4392,0.3286,0.1742,0.2859,0.1117,0.0877,0.074,-0.0137,0.15,0.1028,-0.0472,0.0729,0.1164,0.0435,0.0969,0.191,0.0941,0.0779
s018,0.0953,0.1939,0.0986,0.1212,0.1577,0.0365,0.0771,0.0673,-0.0098,0.0769,0.2223,0.1454,0.0982,0.2878,0.1896,0.1539,0.2202,0.0663,0.0913,0.0935,0.0022,0.1446,0.0821,-0.0625,0.151,0.0673,-0.0837,0.1051,0.205,0.0999,0.0985
s007,0.0887,0.1261,0.0374,0.0966,0.1338,0.0372,0.0697,0.0499,-0.0198,0.0913,0.204,0.1127,0.0647,0.2395,0.1748,0.1003,0.1566,0.0563,0.1008,0.1154,0.0146,0.1272,0.1217,-0.0055,0.1225,0.0681,-0.0544,0.1077,0.2219,0.1142,0.0921
s047,0.0897,0.1179,0.0282,0.0765,0.2667,0.1902,0.0881,0.1232,0.0351,0.0784,0.4837,0.4053,0.1053,0.3659,0.2606,0.1074,0.219,0.1116,0.095,0.1246,0.0296,0.0578,0.1204,0.0626,0.0691,0.1253,0.0562,0.1213,0.2327,0.1114,0.101
s056,0.1024,0.2176,0.1152,0.0628,0.1327,0.0699,0.0652,0.057,-0.0082,0.0808,0.2187,0.1379,0.1298,0.3253,0.1955,0.1208,0.21,0.0892,0.0836,0.0747,-0.0089,0.0995,0.147,0.0475,0.0512,0.158,0.1068,0.0995,0.1445,0.045,0.1
s054,0.1024,0.3914,0.289,0.0765,0.1237,0.0472,0.0852,0.0802,-0.005,0.1002,0.2191,0.1189,0.0575,0.3266,0.2691,0.0855,0.1215,0.036,0.0955,0.1423,0.0468,0.1089,0.0918,-0.0171,0.0902,0.1783,0.0881,0.0915,0.214,0.1225,0.1034
s003,0.1321,0.105,-0.0271,0.1434,0.1402,-0.0032,0.1305,0.0323,-0.0982,0.1894,0.1658,-0.0236,0.0893,0.2771,0.1878,0.1236,0.1582,0.0346,0.1177,0.131,0.0133,0.1352,0.1064,-0.0288,0.1057,0.1585,0.0528,0.075,0.2306,0.1556,0.081
s032,0.1079,0.2312,0.1233,0.1179,0.2218,0.1039,0.0989,0.2917,0.1928,0.0726,0.1826,0.11,0.0944,0.2844,0.19,0.1151,0.2647,0.1496,0.1224,0.329,0.2066,0.1171,0.1649,0.0478,0.0813,0.2021,0.1208,0.1137,0.2573,0.1436,0.0979
s021,0.1103,0.1693,0.059,0.1074,0.18,0.0726,0.0771,0.1199,0.0428,0.0866,0.209,0.1224,0.0974,0.2996,0.2022,0.0863,0.1603,0.074,0.0737,0.1424,0.0687,0.0652,0.1283,0.0631,0.0861,0.1484,0.0623,0.0974,0.7808,0.6834,0.0853
s005,0.0874,0.2248,0.1374,0.0945,0.2093,0.1148,0.0816,0.1719,0.0903,0.1198,0.3159,0.1961,0.1008,0.4054,0.3046,0.1637,0.3239,0.1602,0.0845,0.2078,0.1233,0.1351,0.1444,0.0093,0.0961,0.2236,0.1275,0.0734,0.3562,0.2828,0.0871
s038,0.1129,0.4891,0.3762,0.0733,0.0844,0.0111,0.0815,0.1285,0.047,0.0588,0.2125,0.1537,0.0512,0.4403,0.3891,0.0865,0.3166,0.2301,0.1103,0.1228,0.0125,0.1063,0.1124,0.0061,0.0625,0.1543,0.0918,0.0876,0.2755,0.1879,0.0789
s032,0.0624,0.058,-0.0044,0.0721,0.734,0.6619,0.1179,0.1121,-0.0058,0.1013,0.2121,0.1108,0.0918,0.3089,0.2171,0.1019,0.1834,0.0815,0.0873,0.0718,-0.0155,0.0834,0.137,0.0536,0.1031,0.4799,0.3768,0.1084,0.2512,0.1428,0.1087
s003,0.2162,0.1517,-0.0645,0.192,0.1146,-0.0774,0.174,0.1067,-0.0673,0.2597,0.2412,-0.0185,0.1051,0.2931,0.188,0.1698,0.2654,0.0956,0.1711,0.1582,-0.0129,0.184,0.1529,-0.0311,0.1322,0.1446,0.0124,0.1267,0.2435,0.1168,0.1043
s047,0.0607,0.1635,0.1028,0.067,0.3964,0.3294,0.0451,0.1714,0.1263,0.0641,0.5672,0.5031,0.0707,0.4107,0.34,0.0544,0.1879,0.1335,0.0538,0.1359,0.0821,0.0699,0.1459,0.076,0.048,0.1424,0.0944,0.1021,0.2932,0.1911,0.0768
s013,0.0876,0.1242,0.0366,0.0671,0.1091,0.042,0.0824,0.0541,-0.0283,0.056,0.1779,0.1219,0.0496,0.3489,0.2993,0.0764,0.1115,0.0351,0.0892,0.0824,-0.0068,0.0924,0.1038,0.0114,0.0515,0.1262,0.0747,0.0694,0.2123,0.1429,0.0686
s011,0.0874,0.2275,0.1401,0.1344,0.1595,0.0251,0.0961,0.1056,0.0095,0.0948,0.255,0.1602,0.0555,0.2764,0.2209,0.1161,0.2468,0.1307,0.0958,0.1128,0.017,0.0964,0.1297,0.0333,0.1159,0.085,-0.0309,0.0847,0.0933,0.0086,0.1008
s021,0.1225,0.1858,0.0633,0.0876,0.1436,0.056,0.0908,0.0855,-0.0053,0.0819,0.2051,0.1232,0.0964,0.2945,0.1981,0.1103,0.179,0.0687,0.0895,0.1424,0.0529,0.0734,0.1547,0.0813,0.0863,0.2225,0.1362,0.0808,0.7475,0.6667,0.0916
s035,0.0581,0.1448,0.0867,0.1039,0.1322,0.0283,0.0633,0.11,0.0467,0.1364,0.1263,-0.0101,0.1024,0.3103,0.2079,0.1221,0.1685,0.0464,0.0617,0.1689,0.1072,0.0907,0.1171,0.0264,0.0802,0.1443,0.0641,0.0786,0.2093,0.1307,0.0981
s012,0.1438,0.3097,0.1659,0.1278,0.146,0.0182,0.1283,0.1605,0.0322,0.1198,0.9679,0.8481,0.1072,0.3955,0.2883,0.1228,0.1991,0.0763,0.1225,0.2229,0.1004,0.2127,0.2732,0.0605,0.0929,0.3227,0.2298,0.1607,0.2804,0.1197,0.1285
s043,0.0573,0.2455,0.1882,0.0831,0.244,0.1609,0.0681,0.2108,0.1427,0.0884,0.3371,0.2487,0.0631,0.4419,0.3788,0.0486,0.3897,0.3411,0.071,0.17,0.099,0.0855,0.1475,0.062,0.0559,0.2771,0.2212,0.0464,0.2731,0.2267,0.0449
s037,0.1227,0.2969,0.1742,0.0684,0.0562,-0.0122,0.0721,0.18,0.1079,0.1,0.4112,0.3112,0.067,0.3208,0.2538,0.0734,0.2393,0.1659,0.1353,0.1924,0.0571,0.0939,0.1351,0.0412,0.0805,0.1913,0.1108,0.13,0.2826,0.1526,0.114
s030,0.1623,0.2264,0.0641,0.1314,0.2172,0.0858,0.1235,0.2689,0.1454,0.1631,0.7278,0.5647,0.1193,0.4613,0.342,0.1074,0.3072,0.1998,0.1214,0.1687,0.0473,0.1151,0.226,0.1109,0.0932,0.2434,0.1502,0.081,0.3242,0.2432,0.0903
s036,0.048,0.4801,0.4321,0.0528,0.1646,0.1118,0.0459,0.3658,0.3199,0.0464,0.2866,0.2402,0.0399,0.6257,0.5858,0.0507,0.6167,0.566,0.0412,0.1634,0.1222,0.0654,0.3946,0.3292,0.0375,0.5169,0.4794,0.0396,0.5012,0.4616,0.0504
s007,0.0774,0.1262,0.0488,0.0713,0.1241,0.0528,0.0467,0.0647,0.018,0.0742,0.1758,0.1016,0.0679,0.25,0.1821,0.0816,0.116,0.0344,0.0755,0.1384,0.0629,0.081,0.099,0.018,0.1236,0.1016,-0.022,0.0933,0.2093,0.116,0.0792
s055,0.1022,0.134,0.0318,0.0997,0.1013,0.0016,0.0849,0.0878,0.0029,0.1443,0.1371,-0.0072,0.0744,0.1778,0.1034,0.1001,0.0987,-0.0014,0.0837,0.0878,0.0041,0.0903,0.0776,-0.0127,0.0597,0.1612,0.1015,0.0947,0.0914,-0.0033,0.1203
s049,0.0794,0.4129,0.3335,0.1176,0.1946,0.077,0.0989,0.2917,0.1928,0.1211,0.9818,0.8607,0.1008,1.5009,1.4001,0.0953,1.1027,1.0074,0.1042,0.388,0.2838,0.1277,0.2451,0.1174,0.0813,0.4726,0.3913,0.1092,0.6887,0.5795,0.0905
s033,0.1137,0.2294,0.1157,0.1511,0.1931,0.042,0.0884,0.2232,0.1348,0.1132,0.6427,0.5295,0.0865,0.6066,0.5201,0.148,0.2591,0.1111,0.1113,0.2398,0.1285,0.187,0.1881,0.0011,0.1005,1.2141,1.1136,0.1103,0.3035,0.1932,0.1161
s035,0.0522,0.2146,0.1624,0.076,0.1878,0.1118,0.0683,0.1841,0.1158,0.0652,0.215,0.1498,0.0697,0.3491,0.2794,0.1011,0.1615,0.0604,0.0963,0.1433,0.047,0.091,0.0881,-0.0029,0.1245,0.2126,0.0881,0.076,0.265,0.189,0.0562
s011,0.0971,0.1947,0.0976,0.1183,0.5902,0.4719,0.1238,0.1605,0.0367,0.109,0.1916,0.0826,0.1132,0.2339,0.1207,0.1404,0.1985,0.0581,0.099,0.1265,0.0275,0.1122,0.0848,-0.0274,0.1267,0.0752,-0.0515,0.1505,0.1242,-0.0263,0.1447
s037,0.1221,0.1735,0.0514,0.072,0.1068,0.0348,0.0789,0.1654,0.0865,0.0865,0.3499,0.2634,0.0575,0.4313,0.3738,0.1132,0.2628,0.1496,0.0868,0.1014,0.0146,0.1008,0.1478,0.047,0.0784,0.1391,0.0607,0.1351,0.2426,0.1075,0.1002
s018,0.0956,0.123,0.0274,0.0718,0.1069,0.0351,0.0969,0.0623,-0.0346,0.0626,0.2149,0.1523,0.118,0.291,0.173,0.1524,0.1991,0.0467,0.0781,0.0977,0.0196,0.0961,0.1239,0.0278,0.0969,0.0475,-0.0494,0.1098,0.258,0.1482,0.0921
s025,0.1003,0.133,0.0327,0.0663,0.1218,0.0555,0.0636,0.1204,0.0568,0.0734,0.7877,0.7143,0.0734,0.7279,0.6545,0.0803,0.1701,0.0898,0.0705,0.1382,0.0677,0.0504,0.1001,0.0497,0.0721,0.1787,0.1066,0.0911,0.8045,0.7134,0.0694
s034,0.101,0.1959,0.0949,0.0689,0.0768,0.0079,0.0828,0.1395,0.0567,0.0673,0.6743,0.607,0.0852,0.6398,0.5546,0.0697,0.3767,0.307,0.081,0.1267,0.0457,0.1,0.1249,0.0249,0.0876,0.3587,0.2711,0.0878,0.3825,0.2947,0.0747
s031,0.119,0.348,0.229,0.0647,0.1162,0.0515,0.0721,0.088,0.0159,0.0626,0.6321,0.5695,0.052,0.5796,0.5276,0.1157,0.283,0.1673,0.0747,0.1532,0.0785,0.0847,0.1106,0.0259,0.0631,0.1615,0.0984,0.0684,0.2823,0.2139,0.0615
s022,0.0428,0.6937,0.6509,0.0394,0.3611,0.3217,0.028,0.9638,0.9358,0.104,1.2155,1.1115,0.0438,0.6537,0.6099,0.0528,0.4769,0.4241,0.0457,0.5321,0.4864,0.0895,0.221,0.1315,0.0425,0.3726,0.3301,0.0351,0.4715,0.4364,0.0723
s056,0.0836,0.2294,0.1458,0.1089,0.2168,0.1079,0.1121,0.1459,0.0338,0.0966,0.3846,0.288,0.0968,0.2544,0.1576,0.095,0.1958,0.1008,0.085,0.0829,-0.0021,0.0971,0.1191,0.022,0.0528,0.1612,0.1084,0.1219,0.1231,0.0012,0.1298
s017,0.0721,0.1032,0.0311,0.0504,0.1462,0.0958,0.0539,0.0687,0.0148,0.057,0.2013,0.1443,0.0568,0.3411,0.2843,0.0473,0.2044,0.1571,0.0615,0.084,0.0225,0.0781,0.104,0.0259,0.0536,0.1272,0.0736,0.0839,0.1954,0.1115,0.0684
s016,0.108,0.5515,0.4435,0.0639,0.2333,0.1694,0.0855,0.2666,0.1811,0.0681,0.6299,0.5618,0.0652,0.8854,0.8202,0.1188,0.274,0.1552,0.1027,0.277,0.1743,0.1314,0.2703,0.1389,0.1045,0.247,0.1425,0.119,0.3453,0.2263,0.0916
s050,0.077,0.1368,0.0598,0.0491,0.1391,0.09,0.0668,0.0958,0.029,0.0636,0.2147,0.1511,0.0351,0.8995,0.8644,0.1029,0.1741,0.0712,0.0799,0.1098,0.0299,0.0863,0.1038,0.0175,0.0834,0.2042,0.1208,0.0733,0.5228,0.4495,0.0997
s037,0.0871,0.1039,0.0168,0.0678,0.1527,0.0849,0.0517,0.0583,0.0066,0.0997,0.2242,0.1245,0.09,0.3786,0.2886,0.1071,0.2279,0.1208,0.0889,0.1613,0.0724,0.0976,0.081,-0.0166,0.0881,0.1606,0.0725,0.1092,0.2122,0.103,0.1184
s038,0.0718,1.3895,1.3177,0.0557,0.085,0.0293,0.0662,0.1359,0.0697,0.0641,0.2806,0.2165,0.0565,0.5223,0.4658,0.0583,0.4471,0.3888,0.0902,0.1177,0.0275,0.0886,0.1353,0.0467,0.0551,1.4002,1.3451,0.0689,0.3017,0.2328,0.0636
s048,0.1134,0.1619,0.0485,0.0934,0.0902,-0.0032,0.0763,0.0866,0.0103,0.1126,0.2408,0.1282,0.0958,0.3654,0.2696,0.1093,0.1539,0.0446,0.0852,0.1267,0.0415,0.0956,0.0729,-0.0227,0.0993,0.0979,-0.0014,0.1269,0.2128,0.0859,0.1002
s027,0.1138,0.1567,0.0429,0.0787,0.165,0.0863,0.1148,0.0913,-0.0235,0.103,0.4226,0.3196,0.0647,0.297,0.2323,0.1284,0.1575,0.0291,0.1172,0.1281,0.0109,0.1254,0.0705,-0.0549,0.1555,0.1626,0.0071,0.1275,0.3071,0.1796,0.0803
s043,0.0639,0.4082,0.3443,0.0596,0.2904,0.2308,0.0649,0.1506,0.0857,0.0952,0.4119,0.3167,0.0607,0.6093,0.5486,0.0491,0.4007,0.3516,0.0668,0.0962,0.0294,0.13,0.2656,0.1356,0.0612,0.3128,0.2516,0.0599,0.3338,0.2739,0.0454
s053,0.0599,0.0886,0.0287,0.0686,0.1179,0.0493,0.0984,0.0686,-0.0298,0.0538,0.183,0.1292,0.0367,0.2449,0.2082,0.0404,0.2319,0.1915,0.0934,0.1953,0.1019,0.1222,0.1008,-0.0214,0.1154,0.094,-0.0214,0.1158,0.223,0.1072,0.1037
s026,0.0818,0.2678,0.186,0.0821,0.1658,0.0837,0.0916,0.365,0.2734,0.0847,0.3821,0.2974,0.0657,0.6997,0.634,0.0642,0.2627,0.1985,0.0995,0.1616,0.0621,0.0839,0.1381,0.0542,0.0853,0.2328,0.1475,0.1106,0.2512,0.1406,0.0948
s025,0.1003,0.1477,0.0474,0.0686,0.1264,0.0578,0.0652,0.109,0.0438,0.0789,0.5093,0.4304,0.0768,0.3159,0.2391,0.0787,0.1534,0.0747,0.0821,0.1218,0.0397,0.0887,0.0999,0.0112,0.0784,0.1438,0.0654,0.1019,0.5169,0.415,0.0895
s015,0.0758,0.1074,0.0316,0.0718,0.0816,0.0098,0.0784,0.047,-0.0314,0.0882,0.3262,0.238,0.0636,0.1833,0.1197,0.0787,0.127,0.0483,0.0905,0.0951,0.0046,0.09,0.0705,-0.0195,0.0739,0.1008,0.0269,0.0705,0.1575,0.087,0.0829
s041,0.1606,0.2797,0.1191,0.143,0.2356,0.0926,0.1208,0.1222,0.0014,0.1498,0.2851,0.1353,0.0707,0.4207,0.35,0.1708,0.1552,-0.0156,0.1156,0.1098,-0.0058,0.1446,0.0539,-0.0907,0.1246,0.1174,-0.0072,0.1427,0.227,0.0843,0.1232
s037,0.1132,0.2479,0.1347,0.0752,0.0879,0.0127,0.0794,0.1493,0.0699,0.1034,0.4452,0.3418,0.0749,0.3708,0.2959,0.0918,0.1774,0.0856,0.0936,0.1351,0.0415,0.1103,0.1992,0.0889,0.0755,0.1744,0.0989,0.1221,0.2665,0.1444,0.1145
s032,0.1018,0.1075,0.0057,0.1358,0.2353,0.0995,0.1095,0.1554,0.0459,0.1248,0.2097,0.0849,0.1121,0.3261,0.214,0.1396,0.5616,0.422,0.1126,0.1512,0.0386,0.1042,0.1072,0.003,0.1084,0.2015,0.0931,0.1271,0.2375,0.1104,0.0802
s022,0.0491,0.4303,0.3812,0.0433,0.2732,0.2299,0.0417,0.208,0.1663,0.089,1.0292,0.9402,0.0528,0.6981,0.6453,0.0586,0.9417,0.8831,0.052,0.249,0.197,0.0887,0.2423,0.1536,0.0533,0.5541,0.5008,0.0515,0.9417,0.8902,0.0576
s026,0.0824,0.2565,0.1741,0.0755,0.1463,0.0708,0.0887,0.1529,0.0642,0.065,0.2122,0.1472,0.0642,0.3696,0.3054,0.0784,0.1943,0.1159,0.0797,0.1402,0.0605,0.0758,0.1046,0.0288,0.0591,0.1552,0.0961,0.1212,1.6598,1.5386,0.1011
s031,0.0758,0.275,0.1992,0.0771,0.1172,0.0401,0.0491,0.099,0.0499,0.0771,0.304,0.2269,0.0708,0.3456,0.2748,0.0906,0.3009,0.2103,0.0518,0.2065,0.1547,0.0185,0.0447,0.0262,0.0605,0.18,0.1195,0.0607,0.2947,0.234,0.0684
s003,0.1586,0.1379,-0.0207,0.1698,0.1468,-0.023,0.1223,0.098,-0.0243,0.117,0.2526,0.1356,0.028,0.3434,0.3154,0.1162,0.2389,0.1227,0.1495,0.1334,-0.0161,0.1152,0.0933,-0.0219,0.1357,0.1573,0.0216,0.0979,0.263,0.1651,0.0462
s020,0.1064,0.0857,-0.0207,0.1006,0.1452,0.0446,0.1415,0.0977,-0.0438,0.1085,0.3048,0.1963,0.0713,0.2883,0.217,0.1014,0.1067,0.0053,0.0998,0.1186,0.0188,0.1307,0.093,-0.0377,0.0996,0.0417,-0.0579,0.1239,0.1428,0.0189,0.1198
s037,0.0961,0.0804,-0.0157,0.0831,0.1615,0.0784,0.0691,0.1055,0.0364,0.0992,0.6543,0.5551,0.072,0.3506,0.2786,0.0834,0.1381,0.0547,0.0921,0.1331,0.041,0.1016,0.1027,0.0011,0.0968,0.1511,0.0543,0.1216,0.2373,0.1157,0.0952
s026,0.0871,0.2694,0.1823,0.089,0.127,0.038,0.0797,0.1246,0.0449,0.0834,0.1808,0.0974,0.0758,0.3084,0.2326,0.0898,0.1817,0.0919,0.0903,0.139,0.0487,0.0903,0.0861,-0.0042,0.0795,0.1465,0.067,0.1022,0.2264,0.1242,0.0985
s022,0.033,0.4195,0.3865,0.047,0.298,0.251,0.0452,0.1772,0.132,0.0937,1.5091,1.4154,0.051,2.6028,2.5518,0.0528,0.444,0.3912,0.0528,0.4033,0.3505,0.0921,0.226,0.1339,0.0491,0.408,0.3589,0.0507,0.5441,0.4934,0.0467
